"name_cell" "origin_space"
"390" "SS.sc7785900" "Caudal"
"391" "SS.sc7786405" "Caudal"
"392" "SS.sc7788390" "Caudal"
"393" "SS.sc7788247" "Caudal"
"394" "SS.sc7785473" "Yolk Sac"
"395" "SS.sc7788097" "Caudal"
"396" "SS.sc7785786" "Caudal"
"397" "SS.sc7786570" "Rostral"
"398" "SS.sc7786185" "Caudal"
"399" "SS.sc7788050" "Caudal"
"400" "SS.sc7788357" "Caudal"
"401" "SS.sc7785962" "Caudal"
"402" "SS.sc7788339" "Caudal"
"403" "SS.sc7786282" "Caudal"
"404" "SS.sc7785494" "Yolk Sac"
"405" "SS.sc7785499" "Yolk Sac"
"406" "SS.sc7786558" "Rostral"
"407" "SS.sc7786776" "Rostral"
"408" "SS.sc7786469" "Rostral"
"409" "SS.sc7785640" "Yolk Sac"
"410" "SS.sc7785386" "Yolk Sac"
"411" "SS.sc7785424" "Yolk Sac"
"412" "SS.sc7786197" "Caudal"
"413" "SS.sc7785575" "Yolk Sac"
"414" "SS.sc7785384" "Yolk Sac"
"415" "SS.sc7786685" "Rostral"
"416" "SS.sc7786099" "Caudal"
"417" "SS.sc7786277" "Caudal"
"418" "SS.sc7786423" "Caudal"
"419" "SS.sc7785375" "Yolk Sac"
"420" "SS.sc7785733" "Caudal"
"421" "SS.sc7788146" "Caudal"
"422" "SS.sc7786793" "Rostral"
"423" "SS.sc7785632" "Rostral"
"424" "SS.sc7785365" "Rostral"
"425" "SS.sc7786819" "Rostral"
"426" "SS.sc7785577" "Yolk Sac"
"427" "SS.sc7788288" "Caudal"
"428" "SS.sc7785353" "Yolk Sac"
"429" "SS.sc7785376" "Yolk Sac"
"430" "SS.sc7785653" "Rostral"
"431" "SS.sc7786712" "Rostral"
"432" "SS.sc7786418" "Caudal"
"433" "SS.sc7785663" "Rostral"
"434" "SS.sc7786162" "Caudal"
"435" "SS.sc7785862" "Caudal"
"436" "SS.sc7788266" "Caudal"
"437" "SS.sc7786306" "Caudal"
"438" "SS.sc7785767" "Caudal"
"439" "SS.sc7786008" "Caudal"
"440" "SS.sc7786470" "Rostral"
"441" "SS.sc7788388" "Caudal"
"442" "SS.sc7786137" "Caudal"
"443" "SS.sc7786029" "Caudal"
"444" "SS.sc7786634" "Rostral"
"445" "SS.sc7785739" "Caudal"
"446" "SS.sc7788292" "Caudal"
"447" "SS.sc7786616" "Rostral"
"448" "SS.sc7785817" "Caudal"
"449" "SS.sc7786272" "Caudal"
"450" "SS.sc7785761" "Caudal"
"451" "SS.sc7786518" "Rostral"
"452" "SS.sc7786186" "Caudal"
"453" "SS.sc7786730" "Rostral"
"454" "SS.sc7786794" "Rostral"
"455" "SS.sc7785381" "Yolk Sac"
"456" "SS.sc7785675" "Caudal"
"457" "SS.sc7785403" "Yolk Sac"
"458" "SS.sc7788162" "Caudal"
"459" "SS.sc7786406" "Caudal"
"460" "SS.sc7786179" "Caudal"
"461" "SS.sc7786340" "Caudal"
"462" "SS.sc7788092" "Caudal"
"463" "SS.sc7786305" "Caudal"
"464" "SS.sc7785899" "Caudal"
"465" "SS.sc7785776" "Caudal"
"466" "SS.sc7785615" "Yolk Sac"
"467" "SS.sc7786613" "Rostral"
"468" "SS.sc7788307" "Caudal"
"469" "SS.sc7786317" "Caudal"
"470" "SS.sc7786193" "Caudal"
"471" "SS.sc7786474" "Rostral"
"472" "SS.sc7786411" "Caudal"
"473" "SS.sc7786296" "Caudal"
"474" "SS.sc7785566" "Yolk Sac"
"475" "SS.sc7786768" "Rostral"
"476" "SS.sc7788198" "Caudal"
"477" "SS.sc7785638" "Yolk Sac"
"478" "SS.sc7786720" "Rostral"
"479" "SS.sc7786242" "Caudal"
"480" "SS.sc7785542" "Yolk Sac"
"481" "SS.sc7786811" "Rostral"
"482" "SS.sc7788194" "Caudal"
"483" "SS.sc7786402" "Caudal"
"484" "SS.sc7788098" "Caudal"
"485" "SS.sc7786519" "Rostral"
"486" "SS.sc7785895" "Caudal"
"487" "SS.sc7786006" "Caudal"
"488" "SS.sc7785608" "Rostral"
"489" "SS.sc7786628" "Rostral"
"490" "SS.sc7786513" "Rostral"
"491" "SS.sc7786189" "Caudal"
"492" "SS.sc7786041" "Caudal"
"493" "SS.sc7785410" "Yolk Sac"
"494" "SS.sc7788042" "Caudal"
"495" "SS.sc7786248" "Caudal"
"496" "SS.sc7786627" "Rostral"
"497" "SS.sc7785408" "Yolk Sac"
"498" "SS.sc7785657" "Rostral"
"499" "SS.sc7785592" "Yolk Sac"
"500" "SS.sc7788308" "Caudal"
"501" "SS.sc7785893" "Caudal"
"502" "SS.sc7785864" "Caudal"
"503" "SS.sc7786737" "Rostral"
"504" "SS.sc7785329" "Yolk Sac"
"505" "SS.sc7785648" "Yolk Sac"
"506" "SS.sc7786270" "Caudal"
"507" "SS.sc7785447" "Yolk Sac"
"508" "SS.sc7785438" "Rostral"
"509" "SS.sc7786717" "Rostral"
"510" "SS.sc7785294" "Rostral"
"511" "SS.sc7785449" "Yolk Sac"
"512" "SS.sc7786226" "Caudal"
"513" "SS.sc7786341" "Caudal"
"514" "SS.sc7788169" "Caudal"
"515" "SS.sc7785950" "Rostral"
"516" "SS.sc7786369" "Caudal"
"517" "SS.sc7785687" "Rostral"
"518" "SS.sc7786525" "Rostral"
"519" "SS.sc7785794" "Caudal"
"520" "SS.sc7786262" "Caudal"
"521" "SS.sc7785715" "Caudal"
"522" "SS.sc7788223" "Caudal"
"523" "SS.sc7788099" "Caudal"
"524" "SS.sc7786511" "Rostral"
"525" "SS.sc7785622" "Yolk Sac"
"526" "SS.sc7786586" "Rostral"
"527" "SS.sc7786690" "Rostral"
"528" "SS.sc7786111" "Caudal"
"529" "SS.sc7786672" "Rostral"
"530" "SS.sc7788127" "Caudal"
"531" "SS.sc7785626" "Yolk Sac"
"532" "SS.sc7786735" "Rostral"
"533" "SS.sc7785784" "Caudal"
"534" "SS.sc7786150" "Caudal"
"535" "SS.sc7786820" "Rostral"
"536" "SS.sc7786034" "Caudal"
"537" "SS.sc7788126" "Caudal"
"538" "SS.sc7786084" "Caudal"
"539" "SS.sc7785799" "Caudal"
"540" "SS.sc7788315" "Caudal"
"541" "SS.sc7786246" "Caudal"
"542" "SS.sc7786763" "Rostral"
"543" "SS.sc7786010" "Caudal"
"544" "SS.sc7785612" "Rostral"
"545" "SS.sc7785279" "Yolk Sac"
"546" "SS.sc7786106" "Caudal"
"547" "SS.sc7788192" "Caudal"
"548" "SS.sc7785589" "Rostral"
"549" "SS.sc7786677" "Rostral"
"550" "SS.sc7785841" "Caudal"
"551" "SS.sc7786783" "Rostral"
"552" "SS.sc7785568" "Yolk Sac"
"553" "SS.sc7785604" "Rostral"
"554" "SS.sc7786216" "Caudal"
"555" "SS.sc7785548" "Yolk Sac"
"556" "SS.sc7785338" "Yolk Sac"
"557" "SS.sc7785999" "Rostral"
"558" "SS.sc7785305" "Yolk Sac"
"559" "SS.sc7786427" "Caudal"
"560" "SS.sc7786700" "Rostral"
"561" "SS.sc7785668" "Caudal"
"562" "SS.sc7785633" "Rostral"
"563" "SS.sc7785550" "Yolk Sac"
"564" "SS.sc7785960" "Caudal"
"565" "SS.sc7785536" "Rostral"
"566" "SS.sc7785502" "Yolk Sac"
"567" "SS.sc7785434" "Yolk Sac"
"568" "SS.sc7785646" "Yolk Sac"
"569" "SS.sc7788311" "Caudal"
"570" "SS.sc7786171" "Caudal"
"571" "SS.sc7788237" "Caudal"
"572" "SS.sc7785564" "Rostral"
"573" "SS.sc7786104" "Caudal"
"574" "SS.sc7788028" "Caudal"
"575" "SS.sc7785954" "Caudal"
"576" "SS.sc7786078" "Caudal"
"577" "SS.sc7785717" "Caudal"
"578" "SS.sc7788147" "Caudal"
"579" "SS.sc7785570" "Yolk Sac"
"580" "SS.sc7786715" "Rostral"
"581" "SS.sc7788282" "Caudal"
"582" "SS.sc7788364" "Caudal"
"583" "SS.sc7785930" "Caudal"
"584" "SS.sc7785692" "Caudal"
"585" "SS.sc7785472" "Yolk Sac"
"586" "SS.sc7786507" "Rostral"
"587" "SS.sc7786671" "Rostral"
"588" "SS.sc7785412" "Rostral"
